Server_Power,Network,Workload,Section,Power,Util,CPU_Power,Memory_Power,Network_Power,Offloading_Ratio,CPU_Frequency_1,CPU_Frequency_0.5,CPU_Frequency_0.25,CPU_Frequency_0.125
2,10,1.0,DVS,56.34959,0.999742,48.815633,7.533957,0.0,0.0,78,2,0,0
2,10,1.0,Baseline,56.795506,0.974981,49.261575,7.533931,0.0,0.0,80,0,0,0
2,10,1.1,CO-DMO-CT,16.870741,0.840276,10.344628,2.856276,3.669837,0.575,23,23,15,19
2,10,1.1,CO-DMO,15.229551,0.919366,9.102341,2.478419,3.648791,0.6125,25,21,24,10
2,10,1.1,Offloading,18.708628,0.116134,6.748616,7.533978,4.426034,0.7375,80,0,0,0
2,10,1.1,DVS,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,10,1.1,Baseline,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,30,0.1,CO-DMO-CT,2.400402,0.228082,0.410925,1.828075,0.161402,0.6375,9,14,22,35
2,30,0.1,CO-DMO,1.989712,0.162876,0.41445,1.407214,0.168048,0.675,13,15,26,26
2,30,0.1,Offloading,9.776009,0.021606,2.069494,7.533119,0.173396,0.6875,80,0,0,0
2,30,0.1,DVS,9.559578,0.799169,2.025813,7.533765,0.0,0.0,4,6,20,50
2,30,0.1,Baseline,14.720604,0.125,7.187485,7.533119,0.0,0.0,80,0,0,0
2,30,0.3,CO-DMO-CT,3.265487,0.399388,0.898547,1.959243,0.407697,0.675,7,17,24,32
2,30,0.3,CO-DMO,2.91217,0.433421,0.893195,1.634469,0.384507,0.675,7,16,21,36
2,30,0.3,Offloading,11.516203,0.051854,3.566768,7.533286,0.416149,0.6875,80,0,0,0
2,30,0.3,DVS,15.932699,0.999227,8.398733,7.533965,0.0,0.0,9,34,26,11
2,30,0.3,Baseline,23.383182,0.299998,15.849895,7.533286,0.0,0.0,80,0,0,0
2,30,0.5,CO-DMO-CT,3.695513,0.512617,0.981458,2.01458,0.699475,0.7125,8,13,22,37
2,30,0.5,CO-DMO,4.206974,0.789572,1.586727,1.96272,0.657527,0.6625,11,20,21,28
2,30,0.5,Offloading,13.504986,0.086423,5.277929,7.533477,0.693579,0.6875,80,0,0,0
2,30,0.5,DVS,26.609947,0.99454,19.075996,7.533952,0.0,0.0,36,26,17,1
2,30,0.5,Baseline,33.283201,0.499994,25.749724,7.533477,0.0,0.0,80,0,0,0
2,30,0.7,CO-DMO-CT,5.17249,0.753997,2.156925,2.044678,0.970887,0.7125,9,19,25,27
2,30,0.7,CO-DMO,5.183102,0.538581,2.048881,2.14448,0.98974,0.7125,14,26,24,16
2,30,0.7,Offloading,15.493739,0.120991,6.989064,7.533668,0.971007,0.6875,80,0,0,0
2,30,0.7,DVS,38.598044,0.998757,31.064122,7.533921,0.0,0.0,53,21,5,1
2,30,0.7,Baseline,43.183139,0.699989,35.649471,7.533668,0.0,0.0,80,0,0,0
2,30,0.9,CO-DMO-CT,7.305633,0.937038,4.01641,2.087095,1.202128,0.6875,17,26,17,20
2,30,0.9,CO-DMO,7.346801,0.692464,3.530617,2.581646,1.234537,0.675,20,21,23,16
2,30,0.9,Offloading,17.482435,0.155558,8.700144,7.533859,1.248432,0.6875,80,0,0,0
2,30,0.9,DVS,51.329986,0.999733,43.796046,7.53394,0.0,0.0,70,8,2,0
2,30,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,30,1.0,CO-DMO-CT,9.053129,0.785479,5.869633,1.89987,1.283626,0.6875,27,21,18,14
2,30,1.0,CO-DMO,7.335395,0.868413,3.489681,2.49231,1.353404,0.7,23,22,19,16
2,30,1.0,Offloading,18.22828,0.168523,9.34188,7.533931,1.352469,0.6875,80,0,0,0
2,30,1.0,DVS,56.34959,0.999742,48.815633,7.533957,0.0,0.0,78,2,0,0
2,30,1.0,Baseline,56.795506,0.974981,49.261575,7.533931,0.0,0.0,80,0,0,0
2,30,1.1,CO-DMO-CT,10.910156,0.829275,7.401863,2.181028,1.327266,0.625,23,18,19,20
2,30,1.1,CO-DMO,8.290043,0.645528,4.266042,2.615625,1.408375,0.7,26,16,26,12
2,30,1.1,Offloading,18.725427,0.177164,9.769621,7.533978,1.421828,0.6875,80,0,0,0
2,30,1.1,DVS,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,30,1.1,Baseline,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,50,0.1,CO-DMO-CT,2.396326,0.250648,0.521962,1.7803,0.094064,0.6375,18,7,23,32
2,50,0.1,CO-DMO,1.705261,0.254088,0.58587,1.026194,0.093196,0.625,16,12,26,26
2,50,0.1,Offloading,9.438435,0.016117,1.797775,7.533119,0.10754,0.725,80,0,0,0
2,50,0.1,DVS,9.559578,0.799169,2.025813,7.533765,0.0,0.0,4,6,20,50
2,50,0.1,Baseline,14.720604,0.125,7.187485,7.533119,0.0,0.0,80,0,0,0
2,50,0.3,CO-DMO-CT,3.355092,0.610516,1.215382,1.915422,0.224287,0.6125,11,20,15,34
2,50,0.3,CO-DMO,3.413235,0.620492,1.223068,1.96642,0.223747,0.625,9,18,18,35
2,50,0.3,Offloading,10.70603,0.03868,2.914647,7.533286,0.258096,0.725,80,0,0,0
2,50,0.3,DVS,15.932699,0.999227,8.398733,7.533965,0.0,0.0,9,34,26,11
2,50,0.3,Baseline,23.383182,0.299998,15.849895,7.533286,0.0,0.0,80,0,0,0
2,50,0.5,CO-DMO-CT,3.55145,0.726341,1.533047,1.617152,0.401251,0.675,11,21,14,34
2,50,0.5,CO-DMO,4.06393,0.786758,1.602706,2.08484,0.376383,0.65,10,19,20,31
2,50,0.5,Offloading,12.154696,0.064466,4.191061,7.533477,0.430158,0.725,80,0,0,0
2,50,0.5,DVS,26.609947,0.99454,19.075996,7.533952,0.0,0.0,36,26,17,1
2,50,0.5,Baseline,33.283201,0.499994,25.749724,7.533477,0.0,0.0,80,0,0,0
2,50,0.7,CO-DMO-CT,4.367248,0.452969,1.231166,2.518589,0.617492,0.75,7,27,21,25
2,50,0.7,CO-DMO,5.1588,0.904565,2.176391,2.40254,0.579869,0.6875,19,19,17,25
2,50,0.7,Offloading,13.603333,0.090251,5.467446,7.533668,0.602219,0.725,80,0,0,0
2,50,0.7,DVS,38.598044,0.998757,31.064122,7.533921,0.0,0.0,53,21,5,1
2,50,0.7,Baseline,43.183139,0.699989,35.649471,7.533668,0.0,0.0,80,0,0,0
2,50,0.9,CO-DMO-CT,7.304485,0.82074,3.981921,2.611395,0.711169,0.6875,20,22,26,12
2,50,0.9,CO-DMO,5.883643,0.815313,2.868624,2.262354,0.752664,0.7,16,22,21,21
2,50,0.9,Offloading,15.051922,0.116036,6.743785,7.533859,0.774278,0.725,80,0,0,0
2,50,0.9,DVS,51.329986,0.999733,43.796046,7.53394,0.0,0.0,70,8,2,0
2,50,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,50,1.0,CO-DMO-CT,6.895618,0.82391,3.576093,2.51228,0.807245,0.7,26,21,21,12
2,50,1.0,CO-DMO,7.146013,0.96537,4.273292,2.106799,0.765922,0.675,13,20,24,23
2,50,1.0,Offloading,15.59523,0.125707,7.222497,7.533931,0.838802,0.725,80,0,0,0
2,50,1.0,DVS,56.34959,0.999742,48.815633,7.533957,0.0,0.0,78,2,0,0
2,50,1.0,Baseline,56.795506,0.974981,49.261575,7.533931,0.0,0.0,80,0,0,0
2,50,1.1,CO-DMO-CT,11.804267,0.907859,8.901021,2.138081,0.765165,0.6125,24,33,8,15
2,50,1.1,CO-DMO,10.88631,1.014561,7.545509,2.584656,0.756145,0.625,24,22,23,11
2,50,1.1,Offloading,15.957358,0.132153,7.541562,7.533978,0.881818,0.725,80,0,0,0
2,50,1.1,DVS,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,50,1.1,Baseline,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,70,0.1,CO-DMO-CT,1.974664,0.11967,0.363368,1.536828,0.074468,0.7,8,14,27,31
2,70,0.1,CO-DMO,2.166444,0.269554,0.606395,1.4959,0.064149,0.6125,13,17,21,29
2,70,0.1,Offloading,9.34859,0.014908,1.737942,7.533119,0.077529,0.725,80,0,0,0
2,70,0.1,DVS,9.559578,0.799169,2.025813,7.533765,0.0,0.0,4,6,20,50
2,70,0.1,Baseline,14.720604,0.125,7.187485,7.533119,0.0,0.0,80,0,0,0
2,70,0.3,CO-DMO-CT,2.726736,0.196975,0.778709,1.764307,0.183719,0.725,9,12,25,34
2,70,0.3,CO-DMO,3.078938,0.537604,1.031831,1.884441,0.162666,0.65,12,17,20,31
2,70,0.3,Offloading,10.490402,0.035779,2.771047,7.533286,0.186069,0.725,80,0,0,0
2,70,0.3,DVS,15.932699,0.999227,8.398733,7.533965,0.0,0.0,9,34,26,11
2,70,0.3,Baseline,23.383182,0.299998,15.849895,7.533286,0.0,0.0,80,0,0,0
2,70,0.5,CO-DMO-CT,3.971296,0.560908,1.335828,2.34607,0.289398,0.6875,5,13,37,25
2,70,0.5,CO-DMO,4.165173,0.79613,1.752863,2.132325,0.279985,0.65,11,21,20,28
2,70,0.5,Offloading,11.795321,0.059631,3.95173,7.533477,0.310114,0.725,80,0,0,0
2,70,0.5,DVS,26.609947,0.99454,19.075996,7.533952,0.0,0.0,36,26,17,1
2,70,0.5,Baseline,33.283201,0.499994,25.749724,7.533477,0.0,0.0,80,0,0,0
2,70,0.7,CO-DMO-CT,5.018311,0.735245,2.865453,1.742673,0.410185,0.6875,9,27,24,20
2,70,0.7,CO-DMO,4.337245,0.718277,1.525439,2.379746,0.43206,0.725,10,15,26,29
2,70,0.7,Offloading,13.100225,0.083483,5.132399,7.533668,0.434158,0.725,80,0,0,0
2,70,0.7,DVS,38.598044,0.998757,31.064122,7.533921,0.0,0.0,53,21,5,1
2,70,0.7,Baseline,43.183139,0.699989,35.649471,7.533668,0.0,0.0,80,0,0,0
2,70,0.9,CO-DMO-CT,6.585008,0.972031,3.702815,2.368342,0.513852,0.6875,22,22,18,18
2,70,0.9,CO-DMO,6.056492,0.809962,2.873402,2.646302,0.536788,0.7,13,21,24,22
2,70,0.9,Offloading,14.405081,0.107334,6.313022,7.533859,0.5582,0.725,80,0,0,0
2,70,0.9,DVS,51.329986,0.999733,43.796046,7.53394,0.0,0.0,70,8,2,0
2,70,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,70,1.0,CO-DMO-CT,6.568635,0.950158,3.391246,2.618177,0.559212,0.6875,14,28,19,19
2,70,1.0,CO-DMO,7.012301,1.028083,4.033573,2.430953,0.547776,0.675,16,25,25,14
2,70,1.0,Offloading,14.894452,0.116279,6.755804,7.533931,0.604717,0.725,80,0,0,0
2,70,1.0,DVS,56.34959,0.999742,48.815633,7.533957,0.0,0.0,78,2,0,0
2,70,1.0,Baseline,56.795506,0.974981,49.261575,7.533931,0.0,0.0,80,0,0,0
2,70,1.1,CO-DMO-CT,10.646474,0.99918,7.661275,2.447149,0.53805,0.5875,24,27,18,11
2,70,1.1,CO-DMO,10.542715,1.022091,7.115254,2.883064,0.544397,0.6375,21,23,22,14
2,70,1.1,Offloading,15.220661,0.122241,7.050954,7.533978,0.635729,0.725,80,0,0,0
2,70,1.1,DVS,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,70,1.1,Baseline,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,90,0.1,CO-DMO-CT,2.577377,0.26701,0.724451,1.804247,0.048678,0.5875,10,10,30,30
2,90,0.1,CO-DMO,2.075614,0.255676,0.503729,1.520108,0.051777,0.625,8,15,25,32
2,90,0.1,Offloading,9.790368,0.024279,2.201797,7.533119,0.055452,0.675,80,0,0,0
2,90,0.1,DVS,9.559578,0.799169,2.025813,7.533765,0.0,0.0,4,6,20,50
2,90,0.1,Baseline,14.720604,0.125,7.187485,7.533119,0.0,0.0,80,0,0,0
2,90,0.3,CO-DMO-CT,2.681687,0.418382,0.795636,1.748131,0.137919,0.7,7,16,21,36
2,90,0.3,CO-DMO,2.692739,0.468996,0.790908,1.765727,0.136104,0.6875,5,12,19,44
2,90,0.3,Offloading,11.550669,0.058269,3.884299,7.533286,0.133083,0.675,80,0,0,0
2,90,0.3,DVS,15.932699,0.999227,8.398733,7.533965,0.0,0.0,9,34,26,11
2,90,0.3,Baseline,23.383182,0.299998,15.849895,7.533286,0.0,0.0,80,0,0,0
2,90,0.5,CO-DMO-CT,3.823947,0.496311,1.631273,1.96354,0.229133,0.7,12,14,26,28
2,90,0.5,CO-DMO,3.571937,0.616807,1.358709,1.980859,0.232369,0.7,6,17,28,29
2,90,0.5,Offloading,13.562415,0.097114,5.807133,7.533477,0.221804,0.675,80,0,0,0
2,90,0.5,DVS,26.609947,0.99454,19.075996,7.533952,0.0,0.0,36,26,17,1
2,90,0.5,Baseline,33.283201,0.499994,25.749724,7.533477,0.0,0.0,80,0,0,0
2,90,0.7,CO-DMO-CT,3.833443,0.678478,1.387139,2.111248,0.335056,0.725,7,18,28,27
2,90,0.7,CO-DMO,3.725692,0.273351,1.424733,1.950081,0.350878,0.775,19,20,22,19
2,90,0.7,Offloading,15.574151,0.135959,7.729958,7.533668,0.310525,0.675,80,0,0,0
2,90,0.7,DVS,38.598044,0.998757,31.064122,7.533921,0.0,0.0,53,21,5,1
2,90,0.7,Baseline,43.183139,0.699989,35.649471,7.533668,0.0,0.0,80,0,0,0
2,90,0.9,CO-DMO-CT,8.136737,0.905402,4.894059,2.857193,0.385485,0.6625,24,18,23,15
2,90,0.9,CO-DMO,6.779507,0.671942,3.494067,2.870272,0.415168,0.6875,17,18,25,20
2,90,0.9,Offloading,17.58584,0.174803,9.652737,7.533859,0.399244,0.675,80,0,0,0
2,90,0.9,DVS,51.329986,0.999733,43.796046,7.53394,0.0,0.0,70,8,2,0
2,90,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,90,1.0,CO-DMO-CT,7.271456,0.99492,4.292641,2.559924,0.418891,0.675,17,24,24,15
2,90,1.0,CO-DMO,6.434362,0.790551,3.585093,2.395737,0.453533,0.7,5,27,28,20
2,90,1.0,Offloading,18.340276,0.18937,10.37383,7.533931,0.432515,0.675,80,0,0,0
2,90,1.0,DVS,56.34959,0.999742,48.815633,7.533957,0.0,0.0,78,2,0,0
2,90,1.0,Baseline,56.795506,0.974981,49.261575,7.533931,0.0,0.0,80,0,0,0
2,90,1.1,CO-DMO-CT,10.089635,0.88054,7.222731,2.443253,0.423651,0.625,27,27,10,16
2,90,1.1,CO-DMO,9.60678,1.029094,6.166228,3.015399,0.425153,0.625,21,18,28,13
2,90,1.1,Offloading,18.843188,0.199081,10.854514,7.533978,0.454696,0.675,80,0,0,0
2,90,1.1,DVS,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,90,1.1,Baseline,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,110,0.1,CO-DMO-CT,2.146379,0.183399,0.435813,1.665639,0.044927,0.6625,11,15,26,28
2,110,0.1,CO-DMO,2.090656,0.172914,0.420072,1.624977,0.045607,0.6625,13,15,25,27
2,110,0.1,Offloading,9.289118,0.014276,1.706669,7.533119,0.049329,0.7375,80,0,0,0
2,110,0.1,DVS,9.559578,0.799169,2.025813,7.533765,0.0,0.0,4,6,20,50
2,110,0.1,Baseline,14.720604,0.125,7.187485,7.533119,0.0,0.0,80,0,0,0
2,110,0.3,CO-DMO-CT,3.039534,0.469004,1.064734,1.867846,0.106954,0.6625,7,25,19,29
2,110,0.3,CO-DMO,3.252099,0.469514,1.065813,2.079841,0.106446,0.65,11,9,20,40
2,110,0.3,Offloading,10.347669,0.034263,2.695994,7.533286,0.118389,0.7375,80,0,0,0
2,110,0.3,DVS,15.932699,0.999227,8.398733,7.533965,0.0,0.0,9,34,26,11
2,110,0.3,Baseline,23.383182,0.299998,15.849895,7.533286,0.0,0.0,80,0,0,0
2,110,0.5,CO-DMO-CT,3.875347,0.671081,1.469073,2.221831,0.184442,0.6875,16,14,25,25
2,110,0.5,CO-DMO,3.851525,0.635694,1.892418,1.778648,0.18046,0.6625,10,14,31,25
2,110,0.5,Offloading,11.557426,0.057104,3.826635,7.533477,0.197315,0.7375,80,0,0,0
2,110,0.5,DVS,26.609947,0.99454,19.075996,7.533952,0.0,0.0,36,26,17,1
2,110,0.5,Baseline,33.283201,0.499994,25.749724,7.533477,0.0,0.0,80,0,0,0
2,110,0.7,CO-DMO-CT,3.129556,0.426002,1.16303,1.681378,0.285148,0.7625,11,15,25,29
2,110,0.7,CO-DMO,5.092318,0.798391,2.011644,2.817602,0.263072,0.7,12,20,23,25
2,110,0.7,Offloading,12.767169,0.079945,4.957262,7.533668,0.27624,0.7375,80,0,0,0
2,110,0.7,DVS,38.598044,0.998757,31.064122,7.533921,0.0,0.0,53,21,5,1
2,110,0.7,Baseline,43.183139,0.699989,35.649471,7.533668,0.0,0.0,80,0,0,0
2,110,0.9,CO-DMO-CT,7.876844,0.835582,4.728226,2.82554,0.323077,0.65,13,29,25,13
2,110,0.9,CO-DMO,5.615412,0.929794,2.887406,2.387509,0.340496,0.7,18,22,16,24
2,110,0.9,Offloading,13.976866,0.102785,6.087843,7.533859,0.355163,0.7375,80,0,0,0
2,110,0.9,DVS,51.329986,0.999733,43.796046,7.53394,0.0,0.0,70,8,2,0
2,110,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,110,1.0,CO-DMO-CT,6.548777,0.839212,3.478903,2.704882,0.364992,0.7,20,26,23,11
2,110,1.0,CO-DMO,5.955751,0.915402,2.842287,2.740886,0.372577,0.7125,19,17,22,22
2,110,1.0,Offloading,14.430541,0.11135,6.51185,7.533931,0.384761,0.7375,80,0,0,0
2,110,1.0,DVS,56.34959,0.999742,48.815633,7.533957,0.0,0.0,78,2,0,0
2,110,1.0,Baseline,56.795506,0.974981,49.261575,7.533931,0.0,0.0,80,0,0,0
2,110,1.1,CO-DMO-CT,12.199629,0.903445,9.132891,2.732263,0.334475,0.6,27,32,10,11
2,110,1.1,CO-DMO,9.821898,0.986716,6.62203,2.848742,0.351126,0.625,23,20,28,9
2,110,1.1,Offloading,14.733001,0.117061,6.79453,7.533978,0.404492,0.7375,80,0,0,0
2,110,1.1,DVS,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,110,1.1,Baseline,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,120,0.1,CO-DMO-CT,2.196486,0.223109,0.523668,1.633269,0.039548,0.65,13,20,20,27
2,120,0.1,CO-DMO,2.748637,0.324026,0.756114,1.957771,0.034752,0.5375,8,12,25,35
2,120,0.1,Offloading,9.548323,0.01963,1.97169,7.533119,0.043514,0.7,80,0,0,0
2,120,0.1,DVS,9.559578,0.799169,2.025813,7.533765,0.0,0.0,4,6,20,50
2,120,0.1,Baseline,14.720604,0.125,7.187485,7.533119,0.0,0.0,80,0,0,0
2,120,0.3,CO-DMO-CT,2.864355,0.368725,0.818804,1.941663,0.103888,0.7,6,20,22,32
2,120,0.3,CO-DMO,2.604939,0.260342,0.620046,1.876371,0.108523,0.7375,6,17,27,30
2,120,0.3,Offloading,10.969759,0.047112,3.332039,7.533286,0.104433,0.7,80,0,0,0
2,120,0.3,DVS,15.932699,0.999227,8.398733,7.533965,0.0,0.0,9,34,26,11
2,120,0.3,Baseline,23.383182,0.299998,15.849895,7.533286,0.0,0.0,80,0,0,0
2,120,0.5,CO-DMO-CT,3.875512,0.660614,1.46221,2.244238,0.169064,0.675,11,21,22,26
2,120,0.5,CO-DMO,3.411867,0.738883,1.541334,1.704122,0.166411,0.6625,10,19,30,21
2,120,0.5,Offloading,12.594245,0.078519,4.886713,7.533477,0.174055,0.7,80,0,0,0
2,120,0.5,DVS,26.609947,0.99454,19.075996,7.533952,0.0,0.0,36,26,17,1
2,120,0.5,Baseline,33.283201,0.499994,25.749724,7.533477,0.0,0.0,80,0,0,0
2,120,0.7,CO-DMO-CT,4.370861,0.417188,1.622759,2.490114,0.257987,0.75,13,15,23,29
2,120,0.7,CO-DMO,4.808126,0.6759,2.040325,2.524092,0.243709,0.7,9,21,25,25
2,120,0.7,Offloading,14.218701,0.109926,6.441358,7.533668,0.243676,0.7,80,0,0,0
2,120,0.7,DVS,38.598044,0.998757,31.064122,7.533921,0.0,0.0,53,21,5,1
2,120,0.7,Baseline,43.183139,0.699989,35.649471,7.533668,0.0,0.0,80,0,0,0
2,120,0.9,CO-DMO-CT,7.00427,0.792274,4.378226,2.325147,0.300896,0.6625,18,28,25,9
2,120,0.9,CO-DMO,6.921433,1.029296,4.30433,2.323945,0.293158,0.6375,16,18,29,17
2,120,0.9,Offloading,15.843129,0.141333,7.995975,7.533859,0.313296,0.7,80,0,0,0
2,120,0.9,DVS,51.329986,0.999733,43.796046,7.53394,0.0,0.0,70,8,2,0
2,120,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,120,1.0,CO-DMO-CT,7.499289,0.980989,3.911974,3.26468,0.322635,0.675,19,24,24,13
2,120,1.0,CO-DMO,6.809538,0.891517,4.036669,2.446805,0.326064,0.6875,23,18,25,14
2,120,1.0,Offloading,16.452367,0.153112,8.579032,7.533931,0.339404,0.7,80,0,0,0
2,120,1.0,DVS,56.34959,0.999742,48.815633,7.533957,0.0,0.0,78,2,0,0
2,120,1.0,Baseline,56.795506,0.974981,49.261575,7.533931,0.0,0.0,80,0,0,0
2,120,1.1,CO-DMO-CT,10.990604,0.908408,8.147081,2.521767,0.321755,0.6125,29,23,14,14
2,120,1.1,CO-DMO,9.408987,0.954597,6.554161,2.533342,0.321483,0.6375,25,21,27,7
2,120,1.1,Offloading,16.858434,0.160963,8.967646,7.533978,0.35681,0.7,80,0,0,0
2,120,1.1,DVS,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
2,120,1.1,Baseline,59.2955,1.024981,51.761522,7.533978,0.0,0.0,80,0,0,0
4,10,0.1,CO-DMO-CT,2.501949,0.333273,0.642173,1.431882,0.427894,0.5875,15,9,20,36
4,10,0.1,CO-DMO,2.559872,0.426739,1.071997,1.172605,0.31527,0.45,12,14,22,32
4,10,0.1,Offloading,9.773958,0.014163,1.70107,7.533119,0.539769,0.7375,80,0,0,0
4,10,0.1,DVS,9.559578,0.799169,2.025813,7.533765,0.0,0.0,4,6,20,50
4,10,0.1,Baseline,14.720604,0.125,7.187485,7.533119,0.0,0.0,80,0,0,0
4,10,0.3,CO-DMO-CT,3.907109,0.525184,1.152379,1.594906,1.159824,0.65,9,20,13,38
4,10,0.3,CO-DMO,4.897484,0.998556,2.271318,1.837534,0.788632,0.475,10,14,24,32
4,10,0.3,Offloading,11.511281,0.033991,2.682556,7.533286,1.295439,0.7375,80,0,0,0
4,10,0.3,DVS,15.932699,0.999227,8.398733,7.533965,0.0,0.0,9,34,26,11
4,10,0.3,Baseline,23.383182,0.299998,15.849895,7.533286,0.0,0.0,80,0,0,0
4,10,0.5,CO-DMO-CT,5.419762,0.634558,1.275572,2.071294,2.072896,0.6875,10,15,22,33
4,10,0.5,CO-DMO,7.482143,1.011249,3.755657,2.245127,1.48136,0.5375,18,15,28,19
4,10,0.5,Offloading,13.496774,0.056651,3.80424,7.533477,2.159056,0.7375,80,0,0,0
4,10,0.5,DVS,26.609947,0.99454,19.075996,7.533952,0.0,0.0,36,26,17,1
4,10,0.5,Baseline,33.283201,0.499994,25.749724,7.533477,0.0,0.0,80,0,0,0
4,10,0.7,CO-DMO-CT,7.286116,0.770846,2.06774,2.318622,2.899755,0.6875,8,20,29,23
4,10,0.7,CO-DMO,8.345555,1.004189,3.497802,2.37663,2.471123,0.6375,16,19,28,17
4,10,0.7,Offloading,16.292661,0.097496,5.82604,7.533668,2.932953,0.7125,80,0,0,0
4,10,0.7,DVS,38.598044,0.998757,31.064122,7.533921,0.0,0.0,53,21,5,1
4,10,0.7,Baseline,43.183139,0.699989,35.649471,7.533668,0.0,0.0,80,0,0,0
4,10,0.9,CO-DMO-CT,10.703024,0.727635,4.015564,2.981846,3.705615,0.6875,20,24,18,18
4,10,0.9,CO-DMO,11.330626,0.985845,5.559957,2.493852,3.276817,0.5875,20,28,21,11
4,10,0.9,Offloading,18.509634,0.125351,7.204856,7.533859,3.770919,0.7125,80,0,0,0
4,10,0.9,DVS,51.329986,0.999733,43.796046,7.53394,0.0,0.0,70,8,2,0
4,10,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
